n_validators,n_destination_subnets,n_transfers,checkpoint_tx_size,transfer_tx_size
1,1,1,237,118
1,1,2,237,124
1,1,3,237,130
1,1,4,237,136
1,1,5,237,142
1,1,10,237,173
1,1,20,237,233
1,1,30,237,293
1,1,50,237,414
1,1,100,237,717
1,1,200,237,1322
1,1,500,237,3135
1,1,1000,237,6159
1,1,2000,237,12205
1,1,5000,237,30343
1,1,10000,237,60574
1,1,15000,237,90805
1,1,16500,237,99875
1,2,1,237,118
1,2,2,280,129
1,2,3,280,135
1,2,4,280,141
1,2,5,280,147
1,2,10,280,178
1,2,20,280,238
1,2,30,280,299
1,2,50,280,420
1,2,100,280,722
1,2,200,280,1327
1,2,500,280,3141
1,2,1000,280,6164
1,2,2000,280,12210
1,2,5000,280,30349
1,2,10000,280,60580
1,2,15000,280,90811
1,2,16500,280,99880
1,5,1,237,118
1,5,2,280,129
1,5,3,323,140
1,5,4,366,152
1,5,5,409,163
1,5,10,409,194
1,5,20,409,254
1,5,30,409,315
1,5,50,409,436
1,5,100,409,738
1,5,200,409,1342
1,5,500,409,3156
1,5,1000,409,6181
1,5,2000,409,12227
1,5,5000,409,30365
1,5,10000,409,60596
1,5,15000,409,90827
1,5,16500,409,99896
1,10,1,237,118
1,10,2,280,129
1,10,3,323,140
1,10,4,366,152
1,10,5,409,163
1,10,10,624,220
1,10,20,624,281
1,10,30,624,341
1,10,50,624,462
1,10,100,624,764
1,10,200,624,1369
1,10,500,624,3183
1,10,1000,624,6206
1,10,2000,624,12254
1,10,5000,624,30394
1,10,10000,624,60624
1,10,15000,624,90855
1,10,16500,624,99924
4,1,1,283,118
4,1,2,283,124
4,1,3,283,130
4,1,4,283,136
4,1,5,283,142
4,1,10,283,173
4,1,20,283,233
4,1,30,283,293
4,1,50,283,414
4,1,100,283,717
4,1,200,283,1322
4,1,500,283,3135
4,1,1000,283,6159
4,1,2000,283,12205
4,1,5000,283,30343
4,1,10000,283,60574
4,1,15000,283,90805
4,1,16500,283,99875
4,2,1,283,118
4,2,2,326,129
4,2,3,326,135
4,2,4,326,141
4,2,5,326,147
4,2,10,326,178
4,2,20,326,238
4,2,30,326,299
4,2,50,326,420
4,2,100,326,722
4,2,200,326,1327
4,2,500,326,3141
4,2,1000,326,6164
4,2,2000,326,12210
4,2,5000,326,30349
4,2,10000,326,60580
4,2,15000,326,90811
4,2,16500,326,99880
4,5,1,283,118
4,5,2,326,129
4,5,3,369,140
4,5,4,412,152
4,5,5,455,163
4,5,10,455,194
4,5,20,455,254
4,5,30,455,315
4,5,50,455,436
4,5,100,455,738
4,5,200,455,1342
4,5,500,455,3156
4,5,1000,455,6181
4,5,2000,455,12227
4,5,5000,455,30365
4,5,10000,455,60596
4,5,15000,455,90827
4,5,16500,455,99896
4,10,1,283,118
4,10,2,326,129
4,10,3,369,140
4,10,4,412,152
4,10,5,455,163
4,10,10,670,220
4,10,20,670,281
4,10,30,670,341
4,10,50,670,462
4,10,100,670,764
4,10,200,670,1369
4,10,500,670,3183
4,10,1000,670,6206
4,10,2000,670,12254
4,10,5000,670,30394
4,10,10000,670,60624
4,10,15000,670,90855
4,10,16500,670,99924
7,1,1,329,118
7,1,2,329,124
7,1,3,329,130
7,1,4,329,136
7,1,5,329,142
7,1,10,329,173
7,1,20,329,233
7,1,30,329,293
7,1,50,329,414
7,1,100,329,717
7,1,200,329,1322
7,1,500,329,3135
7,1,1000,329,6159
7,1,2000,329,12205
7,1,5000,329,30343
7,1,10000,329,60574
7,1,15000,329,90805
7,1,16500,329,99875
7,2,1,329,118
7,2,2,372,129
7,2,3,372,135
7,2,4,372,141
7,2,5,372,147
7,2,10,372,178
7,2,20,372,238
7,2,30,372,299
7,2,50,372,420
7,2,100,372,722
7,2,200,372,1327
7,2,500,372,3141
7,2,1000,372,6164
7,2,2000,372,12210
7,2,5000,372,30349
7,2,10000,372,60580
7,2,15000,372,90811
7,2,16500,372,99880
7,5,1,329,118
7,5,2,372,129
7,5,3,415,140
7,5,4,458,152
